Departure_AirportCode,Departure_ScheduledTimeLocal_DateTime,Departure_ScheduledTimeUTC_DateTime,Departure_ActualTimeLocal_DateTime,Departure_ActualTimeUTC_DateTime,Departure_TimeStatus_Code,Departure_TimeStatus_Definition,Departure_Terminal_Name,Departure_Terminal_Gate,Arrival_AirportCode,Arrival_ScheduledTimeLocal_DateTime,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeLocal_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code,Arrival_TimeStatus_Definition,Arrival_Terminal_Name,MarketingCarrier_AirlineID,MarketingCarrier_FlightNumber,OperatingCarrier_AirlineID,OperatingCarrier_FlightNumber,Equipment_AircraftCode,Equipment_AircraftRegistration,FlightStatus_Code,FlightStatus_Definition,ServiceType,Arrival_Terminal_Gate,Arrival_EstimatedTimeLocal_DateTime,Arrival_EstimatedTimeUTC_DateTime,Departure_EstimatedTimeLocal_DateTime,Departure_EstimatedTimeUTC_DateTime
FRA,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:06,2024-09-24T05:06Z,OT,Flight On Time,1,B27,DUB,2024-09-24T08:15,2024-09-24T07:15Z,2024-09-24T07:59,2024-09-24T06:59Z,FE,Flight Early,1,LH,976,LH,976,32Q,DAIEQ,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:10,2024-09-24T05:10Z,2024-09-24T07:13,2024-09-24T05:13Z,OT,Flight On Time,1,A21,MXP,2024-09-24T08:25,2024-09-24T06:25Z,2024-09-24T08:25,2024-09-24T06:25Z,OT,Flight On Time,1,LH,246,LH,246,32A,DAIZX,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:10,2024-09-24T05:10Z,2024-09-24T07:13,2024-09-24T05:13Z,OT,Flight On Time,1,A05,BUD,2024-09-24T08:45,2024-09-24T06:45Z,2024-09-24T08:40,2024-09-24T06:40Z,FE,Flight Early,2A,LH,1334,LH,1334,32V,DAIWF,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:15,2024-09-24T05:15Z,2024-09-24T07:22,2024-09-24T05:22Z,OT,Flight On Time,1,A11,MUC,2024-09-24T08:10,2024-09-24T06:10Z,2024-09-24T08:21,2024-09-24T06:21Z,OT,Flight On Time,2,LH,094,LH,094,32M,DAIDB,LD,Flight Landed,Passenger,G30,,,,
FRA,2024-09-24T07:15,2024-09-24T05:15Z,2024-09-24T07:13,2024-09-24T05:13Z,FE,Flight Early,1,A36,LEJ,2024-09-24T08:10,2024-09-24T06:10Z,2024-09-24T08:11,2024-09-24T06:11Z,OT,Flight On Time,,LH,154,LH,154,32A,DAIUA,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:20,2024-09-24T05:20Z,2024-09-24T07:25,2024-09-24T05:25Z,OT,Flight On Time,1,A20,CDG,2024-09-24T08:35,2024-09-24T06:35Z,2024-09-24T08:29,2024-09-24T06:29Z,FE,Flight Early,1,LH,1026,LH,1026,320,DAIZH,LD,Flight Landed,Passenger,065,,,,
FRA,2024-09-24T07:20,2024-09-24T05:20Z,2024-09-24T07:19,2024-09-24T05:19Z,FE,Flight Early,1,A38,WAW,2024-09-24T08:55,2024-09-24T06:55Z,2024-09-24T08:54,2024-09-24T06:54Z,FE,Flight Early,,LH,1346,LH,1346,321,DAIRA,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:20,2024-09-24T05:20Z,2024-09-24T07:26,2024-09-24T05:26Z,OT,Flight On Time,1,B12,WAW,2024-09-24T09:00,2024-09-24T07:00Z,2024-09-24T09:03,2024-09-24T07:03Z,OT,Flight On Time,,LO,384,LO,384,E75,SPLIP,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:30,2024-09-24T05:30Z,2024-09-24T07:28,2024-09-24T05:28Z,FE,Flight Early,1,A28,HAM,2024-09-24T08:35,2024-09-24T06:35Z,2024-09-24T08:28,2024-09-24T06:28Z,FE,Flight Early,2,LH,004,LH,004,32M,DAIDI,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:30,2024-09-24T05:30Z,2024-09-24T08:26,2024-09-24T06:26Z,DL,Flight Delayed,1,A32,FCO,2024-09-24T09:20,2024-09-24T07:20Z,2024-09-24T10:00,2024-09-24T08:00Z,DL,Flight Delayed,1,LH,230,LH,230,32N,DAIJB,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:30,2024-09-24T05:30Z,2024-09-24T07:29,2024-09-24T05:29Z,FE,Flight Early,1,A25,GVA,2024-09-24T08:35,2024-09-24T06:35Z,2024-09-24T08:32,2024-09-24T06:32Z,FE,Flight Early,1,LH,1212,LH,1212,CRK,EIHIC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:35,2024-09-24T05:35Z,2024-09-24T07:46,2024-09-24T05:46Z,OT,Flight On Time,1,B30,MAN,2024-09-24T08:20,2024-09-24T07:20Z,2024-09-24T08:15,2024-09-24T07:15Z,FE,Flight Early,1,LH,940,LH,940,319,DAILN,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:35,2024-09-24T05:35Z,2024-09-24T07:37,2024-09-24T05:37Z,OT,Flight On Time,1,A34,BCN,2024-09-24T09:40,2024-09-24T07:40Z,2024-09-24T09:45,2024-09-24T07:45Z,OT,Flight On Time,1,LH,1124,LH,1124,32M,DAIDK,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:40,2024-09-24T05:40Z,2024-09-24T07:46,2024-09-24T05:46Z,OT,Flight On Time,1,B06,TLS,2024-09-24T09:25,2024-09-24T07:25Z,2024-09-24T09:17,2024-09-24T07:17Z,FE,Flight Early,,LH,1094,LH,1094,CR9,DACNF,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:45,2024-09-24T05:45Z,2024-09-24T07:51,2024-09-24T05:51Z,OT,Flight On Time,1,A18,BER,2024-09-24T08:55,2024-09-24T06:55Z,2024-09-24T08:57,2024-09-24T06:57Z,OT,Flight On Time,1,LH,174,LH,174,321,DAISU,LD,Flight Landed,Passenger,B03,,,,
FRA,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T07:52,2024-09-24T05:52Z,OT,Flight On Time,1,A24,AMS,2024-09-24T09:00,2024-09-24T07:00Z,2024-09-24T09:03,2024-09-24T07:03Z,OT,Flight On Time,,LH,986,LH,986,320,DAIZG,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T08:10,2024-09-24T06:10Z,DL,Flight Delayed,1,A26,NCE,2024-09-24T09:20,2024-09-24T07:20Z,2024-09-24T09:42,2024-09-24T07:42Z,DL,Flight Delayed,1,LH,1058,LH,1058,320,DAIZJ,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T07:57,2024-09-24T05:57Z,OT,Flight On Time,1,A14,ZRH,2024-09-24T08:45,2024-09-24T06:45Z,2024-09-24T08:46,2024-09-24T06:46Z,OT,Flight On Time,,LH,1184,LH,1184,319,DAILK,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:59,2024-09-24T05:59Z,OT,Flight On Time,1,B10,GOT,2024-09-24T09:30,2024-09-24T07:30Z,2024-09-24T09:25,2024-09-24T07:25Z,FE,Flight Early,,LH,812,LH,812,319,DAIBH,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:50,2024-09-24T05:50Z,FE,Flight Early,1,B47,IST,2024-09-24T12:05,2024-09-24T09:05Z,,,FE,Flight Early,,TK,1598,TK,1598,32B,TCJSG,DP,Flight Departed,Passenger,,2024-09-24T12:00,2024-09-24T09:00Z,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:14,2024-09-24T06:14Z,OT,Flight On Time,1,A17,HAM,2024-09-24T09:05,2024-09-24T07:05Z,2024-09-24T09:09,2024-09-24T07:09Z,OT,Flight On Time,2,LH,006,LH,006,319,DAILD,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:05,2024-09-24T06:05Z,OT,Flight On Time,1,B25,LHR,2024-09-24T08:40,2024-09-24T07:40Z,2024-09-24T08:39,2024-09-24T07:39Z,FE,Flight Early,2,LH,900,LH,900,32N,DAINC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T08:00,2024-09-24T06:00Z,2024-09-24T08:21,2024-09-24T06:21Z,DL,Flight Delayed,1,B22,AYT,2024-09-24T12:30,2024-09-24T09:30Z,2024-09-24T12:40,2024-09-24T09:40Z,DL,Flight Delayed,,XQ,141,XQ,141,7M8,TCSMI,LD,Flight Landed,Passenger,,2024-09-24T13:01,2024-09-24T10:01Z,,
